Local Case Number,Crash Date/Time,Road Name,Related Non-Motorist,Weather,Surface Condition,Light,Driver Substance Abuse,Pedestrian Type,Pedestrian Movement,Pedestrian Actions,Pedestrian Location,At Fault,Injury Severity,Safety Equipment,Latitude,Longitude,Year,Month,Hour
240048341,10/10/2024 09:10:00 AM,WOODGLEN DR (NB/L),Pedestrian,Clear,Dry,Daylight,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Pedestrian,Walking/Cycling on Sidewalk,None (No Improper Action),Sidewalk,No,Suspected Serious Injury,None,39.04024793,-77.11307993,2024,10,9
240048333,10/10/2024 07:31:00 AM,LONGDRAFT RD,Pedestrian,Clear,Dry,Daylight,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Pedestrian,Unknown,Unknown,Intersection Marked Crosswalk,No,Suspected Serious Injury,None,39.14456616,-77.2383461,2024,10,7
240048322,10/10/2024 07:18:00 AM,FOREST GLEN RD,Cyclist (non-electric),Clear,Dry,Daylight,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Cyclist (non-electric),Cross/Enter at Intersection,"Failure to Obey Traffic Signs, Signals, or Officer",Intersection Marked Crosswalk,Yes,Possible Minor Injury,Helmet,39.0153875,-77.04281759,2024,10,7
240048276,10/09/2024 07:15:00 PM,UNIVERSITY BLVD,Pedestrian,Clear,Dry,Medium,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Pedestrian,Cross/Enter Not at Intersection,"Dart/Dash, Inattentive (Talking, Eating, etc.)",Median/Crossing Island,No,Possible Minor Injury,None,38.98949796,-76.98858815,2024,10,19
240048274,10/09/2024 06:41:00 PM,NA,Cyclist (non-electric),Clear,Dry,Daylight,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Cyclist (non-electric),Walking/Cycling Along Roadway With Traffic (In or Adjacent to Travel Lane),"Failure to Yield Right-Of-Way, Improper Passing",Travel Lane Other Location,No,No Apparent Injury,Helmet,38.99597574,-77.06589655,2024,10,18
240048229,10/09/2024 02:32:00 PM,BEECH AVE,Pedestrian,Clear,Dry,Daylight,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Pedestrian,Cross/Enter at Intersection,"Failure to Obey Traffic Signs, Signals, or Officer",Intersection Marked Crosswalk,Yes,Possible Minor Injury,None,39.01015565,-77.11482416,2024,10,14
240048176,10/09/2024 09:26:00 AM,NA,Pedestrian,Clear,NA,Daylight,"Unknown, Unknown",Pedestrian,Other Working,None (No Improper Action),Unknown,No,Possible Minor Injury,None,39.08328604,-76.94011453,2024,10,9
240048153,10/09/2024 06:41:00 AM,FIRSTFIELD RD,Pedestrian,Clear,Dry,Medium,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Pedestrian,Cross/Enter at Intersection,None (No Improper Action),Intersection Marked Crosswalk,No,Possible Minor Injury,None,39.14511966,-77.22006594,2024,10,6
240048092,10/08/2024 03:15:00 PM,NELSON ST,Pedestrian,Clear,Dry,Daylight,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Pedestrian,Cross/Enter at Intersection,None (No Improper Action),Intersection Marked Crosswalk,No,Possible Minor Injury,None,39.09333046,-77.16140076,2024,10,15
240047962,10/07/2024 09:18:00 PM,GREAT SENECA HWY (SB/L),Pedestrian,Clear,Dry,Medium,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",Pedestrian,Cross/Enter at Intersection,"Dart/Dash, Failure to Obey Traffic Signs, Signals, or Officer, Not Visible (Dark Clothing, No Lighting, etc.)",Intersection Marked Crosswalk,Yes,Fatal Injury,None,39.12369719,-77.23171876,2024,10,21
